percentage,concepts,secs
38.0,15,176.21
42.0,10,146.43
14.0,8,165.54
39.0,7,79.13
27.0,14,197.6
30.0,28,454.47
39.0,61,419.3
38.0,50,419.1
45.0,40,759.8
50.0,26,760.9
46.0,12,205.2
8.0,68,130.0
20.0,53,242.5
4.0,46,70.65
49.0,47,308.1
35.0,6,246.58
24.0,14,328.89
35.0,9,145.7
40.0,12,309.23
43.0,13,488.53
26.0,14,535.81
49.0,12,259.13
28.0,32,218.34
27.0,29,326.34
42.0,20,314.82
26.0,28,413.01
11.0,4,63.0
28.0,14,359.0
8.0,19,91.94
4.0,25,90.44
7.0,23,96.68
10.0,16,204.58
19.0,16,241.76
10.0,25,259.48
21.0,23,442.05
4.0,21,84.52
4.0,10,38.05
25.0,46,218.96
18.0,69,314.69
11.0,14,71.28
27.0,12,134.72
42.0,8,126.67
9.0,27,129.64
10.0,32,195.72
28.0,4,183.42
41.0,1,218.01
29.0,31,218.44
29.0,5,732.6
25.0,4,687.12
25.0,7,340.79
46.0,3,130.57
21.0,7,272.36
25.0,10,292.4
30.0,6,584.06
52.0,2,79.8
22.0,9,578.16
14.0,6,359.32
34.0,11,980.7
15.0,7,472.5
37.0,20,161.64
30.0,5,155.59
31.0,24,217.5
22.0,23,185.89
33.0,7,205.73
22.0,27,378.58
31.0,24,304.49
31.0,21,299.06
4.0,28,48.3
5.0,11,38.35
11.0,6,27.05
2.0,33,24.32
23.0,14,205.56
20.0,13,158.96
9.0,6,20.99
4.0,21,29.55
5.0,18,40.25
7.0,4,51.58
3.0,12,27.04
5.0,14,36.84
5.0,15,25.0
2.0,44,30.98
9.0,18,36.79
7.0,11,38.91
5.0,19,38.6
24.0,12,279.34
37.0,10,375.33
19.0,4,145.73
11.0,39,99.36
30.0,61,326.67
6.0,63,94.16
7.0,43,69.9
22.0,62,302.3
26.0,35,173.18
19.0,79,364.18
30.0,44,364.22
19.0,39,337.45
19.0,66,454.25
10.0,63,113.01
26.0,37,324.09
25.0,29,294.99
32.0,44,258.37
34.0,32,191.38
43.0,32,241.23
24.0,42,227.67
17.0,32,154.21
25.0,34,165.21
23.0,2,261.76
8.0,6,114.56
21.0,25,399.46
19.0,28,864.87
14.0,29,816.87
17.0,33,312.1
25.0,37,288.12
17.0,42,274.51
18.0,55,342.16
